Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Original	520.000	550.000	0.100	3	0.200	CAE	20.00	High	false	O1s-Sb3d	7 Channel Acquisition			3
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
541.500	11039
541.600	11060
541.700	11030
541.800	11067
541.900	11141
542.000	11034
542.100	10980
542.200	11036
542.300	11030
542.400	11151
542.500	11224
542.600	11061
542.700	11278
542.800	11074
542.900	11087
543.000	11136
543.100	11065
543.200	11140
543.300	11121
543.400	11127
543.500	11286
543.600	11032
543.700	11153
543.800	11251
543.900	11123
544.000	11199
544.100	11165
544.200	11059
544.300	11202
544.400	11192
544.500	11026
544.600	11169
544.700	11178
544.800	11315
544.900	11322
545.000	11097
545.100	11103
545.200	11217
545.300	11216
545.400	11261
545.500	11195
545.600	11186
545.700	11315
545.800	11201
545.900	11152
546.000	11156
546.100	11207
546.200	11202
546.300	11336
546.400	11125
546.500	11156
546.600	11333
546.700	11297
546.800	11300
546.900	11228
547.000	11399
547.100	11298
547.200	11170
547.300	11249
547.400	11298
547.500	11305
547.600	11478
547.700	11394
547.800	11315
547.900	11341
548.000	11245
548.100	11244
548.200	11205
548.300	11314
548.400	11216
548.500	11253
548.600	11171
548.700	11292
548.800	11284
548.900	11224
549.000	11249
549.100	11276
549.200	11212
549.300	11486
549.400	11360
549.500	11189
549.600	11277
549.700	11258
549.800	11245
549.900	11329
550.000	11263
Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
6	true	Original	280.000	300.000	0.100	3	0.200	CAE	20.00	High	false	C1s	7 Channel Acquisition			3
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
280.000	7024
280.100	6892
280.200	7009
280.300	7006
280.400	7068
280.500	6926
280.600	6952
280.700	6973
280.800	7001
280.900	6877
281.000	6864
281.100	6913
281.200	7033
281.300	6967
281.400	6873
281.500	6959
281.600	7017
281.700	6913
281.800	7085
281.900	6892
282.000	7017
282.100	7069
282.200	7112
282.300	7086
282.400	7047
282.500	7158
282.600	7115
282.700	7211
282.800	7319
282.900	7206
283.000	7528
283.100	7559
283.200	7527
283.300	7849
283.400	7909
283.500	8141
283.600	8521
283.700	8688
283.800	9297
283.900	10121
284.000	11043
284.100	12138
284.200	13490
284.300	15336
284.400	16900
284.500	19141
284.600	21058
284.700	22881
284.800	24170
284.900	24841
285.000	25202
285.100	24843
285.200	23993
285.300	22541
285.400	21262
285.500	19577
285.600	18059
285.700	16609
285.800	15276
285.900	14166
286.000	13194
286.100	12200
286.200	11651
286.300	11172
286.400	10791
286.500	10139
286.600	9668
286.700	9489
286.800	9271
286.900	8878
287.000	8809
287.100	8715
287.200	8538
287.300	8492
287.400	8172
287.500	8150
287.600	8396
287.700	8306
287.800	8344
287.900	8336
288.000	8471
288.100	8467
288.200	8415
288.300	8437
288.400	8613
288.500	8398
288.600	8497
288.700	8240
288.800	8342
288.900	8254
289.000	8284
289.100	8351
289.200	8300
289.300	8311
289.400	8210
289.500	8097
289.600	8217
289.700	8004
289.800	8144
289.900	8034
290.000	8057
290.100	7996
290.200	7918
290.300	7966
290.400	8060
290.500	7942
290.600	7943
290.700	7942
290.800	7833
290.900	7794
291.000	7891
291.100	7826
291.200	7785
291.300	7842
291.400	8054
291.500	7820
291.600	7702
291.700	7881
291.800	7804
291.900	7789
292.000	7722
292.100	7835
292.200	7800
292.300	7736
292.400	7767
292.500	7769
292.600	7768
292.700	7837
292.800	7818
292.900	7936
293.000	7845
293.100	8000
293.200	7862
293.300	7741
293.400	7826
293.500	7693
293.600	7711
293.700	7741
293.800	7858
293.900	7971
294.000	7926
294.100	7932
294.200	7908
294.300	7864
294.400	7766
294.500	7792
294.600	7760
294.700	7982
294.800	7889
294.900	7906
295.000	7946
295.100	7842
295.200	7804
295.300	7975
295.400	8053
295.500	8008
295.600	7960
295.700	8005
295.800	8081
295.900	7915
296.000	7903
296.100	7969
296.200	7971
296.300	8117
296.400	8024
296.500	8028
296.600	8070
296.700	8201
296.800	8044
296.900	8143
297.000	7985
297.100	8113
297.200	8084
297.300	8068
297.400	8178
297.500	8088
297.600	8085
297.700	8219
297.800	8164
297.900	8177
298.000	8180
298.100	8093
298.200	8233
298.300	8280
298.400	8180
298.500	8365
298.600	8254
298.700	8376
298.800	8339
298.900	8330
299.000	8315
299.100	8348
299.200	8425
299.300	8376
299.400	8493
299.500	8367
299.600	8411
299.700	8358
299.800	8505
299.900	8666
300.000	8524
Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
7	true	Original	0.0	1100.0	0.3	1	0.100	CAE	50.00	High	false	WIDE	7 Channel Acquisition			1
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
0.0	1403
0.3	1434
0.6	1366
0.9	1405
1.2	1420
1.5	1402
1.8	1368
2.1	1389
2.4	1374
2.7	1415
3.0	1462
3.3	1435
3.6	1429
3.9	1474
4.2	1441
4.5	1460
4.8	1490
5.1	1540
5.4	1539
5.7	1489
6.0	1503
6.3	1502
6.6	1473
6.9	1453
7.2	1519
7.5	1559
7.8	1469
8.1	1465
8.4	1484
8.7	1399
9.0	1485
9.3	1582
9.6	1559
9.9	1466
10.2	1460
10.5	1485
10.8	1491
11.1	1478
11.4	1529
11.7	1609
12.0	1555
12.3	1537
12.6	1514
12.9	1478
13.2	1508
13.5	1496
13.8	1520
14.1	1489
14.4	1532
14.7	1574
15.0	1577
15.3	1546
15.6	1599
15.9	1588
16.2	1565
16.5	1569
16.8	1549
17.1	1542
17.4	1577
17.7	1549
18.0	1622
18.3	1593
18.6	1636
18.9	1589
19.2	1577
19.5	1603
19.8	1572
20.1	1579
20.4	1543
20.7	1545
21.0	1562
21.3	1508
21.6	1559
21.9	1519
22.2	1511
22.5	1543
22.8	1547
23.1	1604
23.4	1560
23.7	1553
24.0	1548
24.3	1530
24.6	1550
24.9	1542
25.2	1557
25.5	1505
25.8	1560
26.1	1565
26.4	1642
26.7	1607
27.0	1548
27.3	1533
27.6	1605
27.9	1590
28.2	1566
28.5	1619
28.8	1532
29.1	1575
29.4	1588
29.7	1581
30.0	1618
30.3	1593
30.6	1586
30.9	1521
31.2	1500
31.5	1546
31.8	1597
32.1	1516
32.4	1544
32.7	1515
33.0	1565
33.3	1562
33.6	1587
33.9	1575
34.2	1561
34.5	1514
34.8	1512
35.1	1546
35.4	1581
35.7	1548
36.0	1514
36.3	1585
36.6	1558
36.9	1615
37.2	1558
37.5	1628
37.8	1570
38.1	1542
38.4	1542
38.7	1570
39.0	1565
39.3	1583
39.6	1622
39.9	1610
40.2	1632
40.5	1599
40.8	1630
41.1	1554
41.4	1582
41.7	1612
42.0	1556
42.3	1596
42.6	1634
42.9	1609
43.2	1607
43.5	1596
43.8	1549
44.1	1571
44.4	1558
44.7	1599
45.0	1584
45.3	1526
45.6	1588
45.9	1549
46.2	1592
46.5	1614
46.8	1623
47.1	1616
47.4	1566
47.7	1621
48.0	1588
48.3	1669
48.6	1631
48.9	1535
49.2	1563
49.5	1560
49.8	1595
50.1	1660
50.4	1642
50.7	1673
51.0	1719
51.3	1773
51.6	1764
51.9	1739
52.2	1756
52.5	1808
52.8	1718
53.1	1710
53.4	1632
53.7	1582
54.0	1642
54.3	1593
54.6	1659
54.9	1575
55.2	1665
55.5	1581
55.8	1612
56.1	1638
56.4	1629
56.7	1611
57.0	1615
57.3	1615
57.6	1605
57.9	1607
58.2	1592
58.5	1633
58.8	1632
59.1	1603
59.4	1633
59.7	1635
60.0	1619
60.3	1617
60.6	1589
60.9	1639
61.2	1683
61.5	1651
61.8	1681
62.1	1710
62.4	1642
62.7	1661
63.0	1674
63.3	1672
